order_id,status,placement_time,ready_time,pickup_time,delivery_time,click_to_door,ready_to_pickup,bundle_size
28,ready,2025-07-03 11:02:00,2025-07-03 11:08:00,,,,,1
29,ready,2025-07-03 11:02:00,2025-07-03 11:08:00,,,,,1
30,ready,2025-07-03 11:03:00,2025-07-03 11:11:00,,,,,1
31,ready,2025-07-03 11:03:00,2025-07-03 11:07:00,,,,,1
32,delivered,2025-07-03 11:03:00,2025-07-03 11:14:00,2025-07-03 11:20:00,2025-07-03 11:37:52.600,34.876666666666665,6.0,1
33,ready,2025-07-03 11:03:00,2025-07-03 11:08:00,,,,,1
34,ready,2025-07-03 11:03:00,2025-07-03 11:11:00,,,,,1
35,ready,2025-07-03 11:03:00,2025-07-03 11:12:00,,,,,1
36,ready,2025-07-03 11:03:00,2025-07-03 11:11:00,,,,,1
37,ready,2025-07-03 11:03:00,2025-07-03 11:13:00,,,,,1
38,ready,2025-07-03 11:03:00,2025-07-03 11:11:00,,,,,1
39,ready,2025-07-03 11:04:00,2025-07-03 11:08:00,,,,,1
40,ready,2025-07-03 11:04:00,2025-07-03 11:11:00,,,,,1
41,ready,2025-07-03 11:04:00,2025-07-03 11:15:00,,,,,1
42,ready,2025-07-03 11:04:00,2025-07-03 11:10:00,,,,,1
43,ready,2025-07-03 11:04:00,2025-07-03 11:10:00,,,,,1
44,ready,2025-07-03 11:05:00,2025-07-03 11:09:00,,,,,1
45,ready,2025-07-03 11:05:00,2025-07-03 11:12:00,,,,,1
46,ready,2025-07-03 11:05:00,2025-07-03 11:10:00,,,,,1
47,ready,2025-07-03 11:05:00,2025-07-03 11:15:00,,,,,1
48,ready,2025-07-03 11:05:00,2025-07-03 11:09:00,,,,,1
49,ready,2025-07-03 11:05:00,2025-07-03 11:14:00,,,,,1
50,ready,2025-07-03 11:05:00,2025-07-03 11:15:00,,,,,1
51,ready,2025-07-03 11:05:00,2025-07-03 11:11:00,,,,,1
52,ready,2025-07-03 11:05:00,2025-07-03 11:13:00,,,,,1
53,ready,2025-07-03 11:05:00,2025-07-03 11:13:00,,,,,1
54,ready,2025-07-03 11:05:00,2025-07-03 11:12:00,,,,,1
55,ready,2025-07-03 11:05:00,2025-07-03 11:10:00,,,,,1
56,ready,2025-07-03 11:05:00,2025-07-03 11:10:00,,,,,1
57,delivered,2025-07-03 11:05:00,2025-07-03 11:15:00,2025-07-03 11:25:00,2025-07-03 11:37:45.000,32.75,10.0,1
58,delivered,2025-07-03 11:06:00,2025-07-03 11:14:00,2025-07-03 11:30:00,2025-07-03 11:38:26.600,32.443333333333335,16.0,1
59,ready,2025-07-03 11:06:00,2025-07-03 11:12:00,,,,,1
60,ready,2025-07-03 11:06:00,2025-07-03 11:12:00,,,,,1
61,delivered,2025-07-03 11:06:00,2025-07-03 11:13:00,2025-07-03 11:30:00,2025-07-03 11:43:42.700,37.711666666666666,17.0,1
62,ready,2025-07-03 11:06:00,2025-07-03 11:15:00,,,,,1
63,ready,2025-07-03 11:07:00,2025-07-03 11:18:00,,,,,1
64,ready,2025-07-03 11:07:00,2025-07-03 11:13:00,,,,,1
65,ready,2025-07-03 11:07:00,2025-07-03 11:15:00,,,,,1
66,ready,2025-07-03 11:07:00,2025-07-03 11:15:00,,,,,1
67,ready,2025-07-03 11:07:00,2025-07-03 11:13:00,,,,,1
68,ready,2025-07-03 11:07:00,2025-07-03 11:13:00,,,,,1
69,ready,2025-07-03 11:07:00,2025-07-03 11:13:00,,,,,1
70,ready,2025-07-03 11:07:00,2025-07-03 11:11:00,,,,,1
71,ready,2025-07-03 11:08:00,2025-07-03 11:18:00,,,,,1
72,ready,2025-07-03 11:08:00,2025-07-03 11:16:00,,,,,1
73,ready,2025-07-03 11:08:00,2025-07-03 11:13:00,,,,,1
74,ready,2025-07-03 11:08:00,2025-07-03 11:12:00,,,,,1
75,ready,2025-07-03 11:08:00,2025-07-03 11:14:00,,,,,1
76,ready,2025-07-03 11:09:00,2025-07-03 11:19:00,,,,,1
77,ready,2025-07-03 11:09:00,2025-07-03 11:16:00,,,,,1
78,ready,2025-07-03 11:09:00,2025-07-03 11:15:00,,,,,1
79,ready,2025-07-03 11:09:00,2025-07-03 11:15:00,,,,,1
80,ready,2025-07-03 11:09:00,2025-07-03 11:14:00,,,,,1
81,ready,2025-07-03 11:09:00,2025-07-03 11:19:00,,,,,1
82,delivered,2025-07-03 11:09:00,2025-07-03 11:16:00,2025-07-03 11:15:00,2025-07-03 11:23:59.300,14.988333333333333,-1.0,1
83,ready,2025-07-03 11:09:00,2025-07-03 11:16:00,,,,,1
84,ready,2025-07-03 11:09:00,2025-07-03 11:16:00,,,,,1
85,ready,2025-07-03 11:10:00,2025-07-03 11:22:00,,,,,1
86,ready,2025-07-03 11:10:00,2025-07-03 11:18:00,,,,,1
87,ready,2025-07-03 11:10:00,2025-07-03 11:16:00,,,,,1
88,ready,2025-07-03 11:10:00,2025-07-03 11:14:00,,,,,1
89,ready,2025-07-03 11:10:00,2025-07-03 11:16:00,,,,,1
90,ready,2025-07-03 11:10:00,2025-07-03 11:16:00,,,,,1
91,ready,2025-07-03 11:10:00,2025-07-03 11:20:00,,,,,1
92,ready,2025-07-03 11:10:00,2025-07-03 11:18:00,,,,,1
93,ready,2025-07-03 11:10:00,2025-07-03 11:15:00,,,,,1
94,ready,2025-07-03 11:10:00,2025-07-03 11:14:00,,,,,1
95,ready,2025-07-03 11:11:00,2025-07-03 11:21:00,,,,,1
96,ready,2025-07-03 11:11:00,2025-07-03 11:16:00,,,,,1
97,ready,2025-07-03 11:11:00,2025-07-03 11:22:00,,,,,1
98,ready,2025-07-03 11:11:00,2025-07-03 11:21:00,,,,,1
99,ready,2025-07-03 11:11:00,2025-07-03 11:21:00,,,,,1
100,ready,2025-07-03 11:12:00,2025-07-03 11:18:00,,,,,1
101,ready,2025-07-03 11:12:00,2025-07-03 11:20:00,,,,,1
102,ready,2025-07-03 11:12:00,2025-07-03 11:21:00,,,,,1
103,ready,2025-07-03 11:12:00,2025-07-03 11:23:00,,,,,1
104,ready,2025-07-03 11:12:00,2025-07-03 11:21:00,,,,,1
105,ready,2025-07-03 11:12:00,2025-07-03 11:17:00,,,,,1
106,delivered,2025-07-03 11:12:00,2025-07-03 11:22:00,2025-07-03 11:15:00,2025-07-03 11:24:15.600,12.26,-7.0,1
107,ready,2025-07-03 11:12:00,2025-07-03 11:21:00,,,,,1
108,ready,2025-07-03 11:12:00,2025-07-03 11:21:00,,,,,1
109,ready,2025-07-03 11:12:00,2025-07-03 11:21:00,,,,,1
110,ready,2025-07-03 11:12:00,2025-07-03 11:21:00,,,,,1
111,ready,2025-07-03 11:12:00,2025-07-03 11:18:00,,,,,1
112,ready,2025-07-03 11:12:00,2025-07-03 11:20:00,,,,,1
113,ready,2025-07-03 11:12:00,2025-07-03 11:22:00,,,,,1
114,ready,2025-07-03 11:13:00,2025-07-03 11:19:00,,,,,1
115,ready,2025-07-03 11:13:00,2025-07-03 11:19:00,,,,,1
116,ready,2025-07-03 11:13:00,2025-07-03 11:22:00,,,,,1
117,ready,2025-07-03 11:13:00,2025-07-03 11:22:00,,,,,1
118,ready,2025-07-03 11:13:00,2025-07-03 11:21:00,,,,,1
119,ready,2025-07-03 11:13:00,2025-07-03 11:25:00,,,,,1
120,ready,2025-07-03 11:13:00,2025-07-03 11:22:00,,,,,1
121,ready,2025-07-03 11:13:00,2025-07-03 11:18:00,,,,,1
122,ready,2025-07-03 11:14:00,2025-07-03 11:24:00,,,,,1
123,ready,2025-07-03 11:14:00,2025-07-03 11:20:00,,,,,1
124,ready,2025-07-03 11:14:00,2025-07-03 11:19:00,,,,,1
125,ready,2025-07-03 11:14:00,2025-07-03 11:24:00,,,,,1
126,ready,2025-07-03 11:14:00,2025-07-03 11:22:00,,,,,1
127,ready,2025-07-03 11:14:00,2025-07-03 11:19:00,,,,,1
128,ready,2025-07-03 11:14:00,2025-07-03 11:21:00,,,,,1
129,ready,2025-07-03 11:14:00,2025-07-03 11:24:00,,,,,1
130,ready,2025-07-03 11:15:00,2025-07-03 11:22:00,,,,,1
131,ready,2025-07-03 11:15:00,2025-07-03 11:22:00,,,,,1
132,ready,2025-07-03 11:15:00,2025-07-03 11:21:00,,,,,1
133,ready,2025-07-03 11:15:00,2025-07-03 11:19:00,,,,,1
134,delivered,2025-07-03 11:15:00,2025-07-03 11:25:00,2025-07-03 11:15:00,2025-07-03 11:23:32.300,8.538333333333332,-10.0,1
135,ready,2025-07-03 11:15:00,2025-07-03 11:22:00,,,,,1
136,ready,2025-07-03 11:15:00,2025-07-03 11:19:00,,,,,1
137,ready,2025-07-03 11:15:00,2025-07-03 11:19:00,,,,,1
138,ready,2025-07-03 11:15:00,2025-07-03 11:25:00,,,,,1
139,ready,2025-07-03 11:16:00,2025-07-03 11:24:00,,,,,1
140,ready,2025-07-03 11:16:00,2025-07-03 11:24:00,,,,,1
141,ready,2025-07-03 11:16:00,2025-07-03 11:23:00,,,,,1
142,ready,2025-07-03 11:16:00,2025-07-03 11:25:00,,,,,1
143,ready,2025-07-03 11:16:00,2025-07-03 11:23:00,,,,,1
144,ready,2025-07-03 11:16:00,2025-07-03 11:27:00,,,,,1
145,ready,2025-07-03 11:17:00,2025-07-03 11:21:00,,,,,1
146,ready,2025-07-03 11:17:00,2025-07-03 11:26:00,,,,,1
147,ready,2025-07-03 11:17:00,2025-07-03 11:24:00,,,,,1
148,ready,2025-07-03 11:17:00,2025-07-03 11:23:00,,,,,1
149,ready,2025-07-03 11:17:00,2025-07-03 11:23:00,,,,,1
150,ready,2025-07-03 11:17:00,2025-07-03 11:22:00,,,,,1
151,ready,2025-07-03 11:17:00,2025-07-03 11:25:00,,,,,1
152,ready,2025-07-03 11:17:00,2025-07-03 11:26:00,,,,,1
153,ready,2025-07-03 11:17:00,2025-07-03 11:23:00,,,,,1
154,ready,2025-07-03 11:18:00,2025-07-03 11:28:00,,,,,1
155,ready,2025-07-03 11:18:00,2025-07-03 11:25:00,,,,,1
156,ready,2025-07-03 11:18:00,2025-07-03 11:27:00,,,,,1
157,ready,2025-07-03 11:18:00,2025-07-03 11:24:00,,,,,1
158,ready,2025-07-03 11:18:00,2025-07-03 11:26:00,,,,,1
159,ready,2025-07-03 11:18:00,2025-07-03 11:27:00,,,,,1
160,ready,2025-07-03 11:18:00,2025-07-03 11:24:00,,,,,1
161,ready,2025-07-03 11:19:00,2025-07-03 11:29:00,,,,,1
162,ready,2025-07-03 11:19:00,2025-07-03 11:24:00,,,,,1
163,ready,2025-07-03 11:19:00,2025-07-03 11:26:00,,,,,1
164,ready,2025-07-03 11:19:00,2025-07-03 11:28:00,,,,,1
165,ready,2025-07-03 11:19:00,2025-07-03 11:29:00,,,,,1
166,ready,2025-07-03 11:19:00,2025-07-03 11:30:00,,,,,1
167,ready,2025-07-03 11:19:00,2025-07-03 11:27:00,,,,,1
168,ready,2025-07-03 11:19:00,2025-07-03 11:28:00,,,,,1
169,ready,2025-07-03 11:20:00,2025-07-03 11:28:00,,,,,1
170,ready,2025-07-03 11:20:00,2025-07-03 11:26:00,,,,,1
171,ready,2025-07-03 11:20:00,2025-07-03 11:27:00,,,,,1
172,ready,2025-07-03 11:20:00,2025-07-03 11:29:00,,,,,1
173,ready,2025-07-03 11:20:00,2025-07-03 11:29:00,,,,,1
174,ready,2025-07-03 11:21:00,2025-07-03 11:28:00,,,,,1
175,ready,2025-07-03 11:21:00,2025-07-03 11:29:00,,,,,1
176,ready,2025-07-03 11:21:00,2025-07-03 11:27:00,,,,,1
177,ready,2025-07-03 11:21:00,2025-07-03 11:26:00,,,,,1
178,ready,2025-07-03 11:21:00,2025-07-03 11:29:00,,,,,1
179,ready,2025-07-03 11:21:00,2025-07-03 11:33:00,,,,,1
180,ready,2025-07-03 11:21:00,2025-07-03 11:30:00,,,,,1
181,ready,2025-07-03 11:21:00,2025-07-03 11:29:00,,,,,1
182,ready,2025-07-03 11:21:00,2025-07-03 11:28:00,,,,,1
183,ready,2025-07-03 11:21:00,2025-07-03 11:26:00,,,,,1
184,ready,2025-07-03 11:22:00,2025-07-03 11:30:00,,,,,1
185,ready,2025-07-03 11:22:00,2025-07-03 11:30:00,,,,,1
186,ready,2025-07-03 11:22:00,2025-07-03 11:26:00,,,,,1
187,ready,2025-07-03 11:22:00,2025-07-03 11:30:00,,,,,1
188,ready,2025-07-03 11:22:00,2025-07-03 11:31:00,,,,,1
189,ready,2025-07-03 11:22:00,2025-07-03 11:27:00,,,,,1
190,ready,2025-07-03 11:22:00,2025-07-03 11:32:00,,,,,1
191,ready,2025-07-03 11:22:00,2025-07-03 11:26:00,,,,,1
192,ready,2025-07-03 11:22:00,2025-07-03 11:26:00,,,,,1
193,ready,2025-07-03 11:22:00,2025-07-03 11:30:00,,,,,1
194,ready,2025-07-03 11:22:00,2025-07-03 11:33:00,,,,,1
195,ready,2025-07-03 11:23:00,2025-07-03 11:32:00,,,,,1
196,ready,2025-07-03 11:23:00,2025-07-03 11:33:00,,,,,1
197,ready,2025-07-03 11:23:00,2025-07-03 11:28:00,,,,,1
198,ready,2025-07-03 11:23:00,2025-07-03 11:33:00,,,,,1
199,ready,2025-07-03 11:23:00,2025-07-03 11:28:00,,,,,1
200,ready,2025-07-03 11:23:00,2025-07-03 11:33:00,,,,,1
201,ready,2025-07-03 11:23:00,2025-07-03 11:29:00,,,,,1
202,ready,2025-07-03 11:23:00,2025-07-03 11:29:00,,,,,1
203,ready,2025-07-03 11:23:00,2025-07-03 11:31:00,,,,,1
204,ready,2025-07-03 11:24:00,2025-07-03 11:31:00,,,,,1
205,ready,2025-07-03 11:24:00,2025-07-03 11:28:00,,,,,1
206,ready,2025-07-03 11:24:00,2025-07-03 11:30:00,,,,,1
207,ready,2025-07-03 11:24:00,2025-07-03 11:30:00,,,,,1
208,ready,2025-07-03 11:24:00,2025-07-03 11:33:00,,,,,1
209,ready,2025-07-03 11:24:00,2025-07-03 11:31:00,,,,,1
210,ready,2025-07-03 11:24:00,2025-07-03 11:33:00,,,,,1
211,ready,2025-07-03 11:24:00,2025-07-03 11:34:00,,,,,1
212,ready,2025-07-03 11:25:00,2025-07-03 11:29:00,,,,,1
213,ready,2025-07-03 11:25:00,2025-07-03 11:35:00,,,,,1
214,ready,2025-07-03 11:25:00,2025-07-03 11:32:00,,,,,1
215,ready,2025-07-03 11:25:00,2025-07-03 11:32:00,,,,,1
216,ready,2025-07-03 11:25:00,2025-07-03 11:32:00,,,,,1
217,ready,2025-07-03 11:25:00,2025-07-03 11:32:00,,,,,1
218,ready,2025-07-03 11:26:00,2025-07-03 11:32:00,,,,,1
219,ready,2025-07-03 11:26:00,2025-07-03 11:38:00,,,,,1
220,ready,2025-07-03 11:26:00,2025-07-03 11:34:00,,,,,1
221,ready,2025-07-03 11:26:00,2025-07-03 11:35:00,,,,,1
222,ready,2025-07-03 11:26:00,2025-07-03 11:34:00,,,,,1
223,ready,2025-07-03 11:26:00,2025-07-03 11:30:00,,,,,1
224,ready,2025-07-03 11:26:00,2025-07-03 11:35:00,,,,,1
225,ready,2025-07-03 11:26:00,2025-07-03 11:36:00,,,,,1
226,ready,2025-07-03 11:27:00,2025-07-03 11:34:00,,,,,1
227,ready,2025-07-03 11:27:00,2025-07-03 11:37:00,,,,,1
228,ready,2025-07-03 11:27:00,2025-07-03 11:35:00,,,,,1
229,ready,2025-07-03 11:27:00,2025-07-03 11:35:00,,,,,1
230,ready,2025-07-03 11:27:00,2025-07-03 11:34:00,,,,,1
231,ready,2025-07-03 11:27:00,2025-07-03 11:34:00,,,,,1
232,ready,2025-07-03 11:27:00,2025-07-03 11:35:00,,,,,1
233,ready,2025-07-03 11:27:00,2025-07-03 11:35:00,,,,,1
234,ready,2025-07-03 11:28:00,2025-07-03 11:32:00,,,,,1
235,ready,2025-07-03 11:28:00,2025-07-03 11:37:00,,,,,1
236,ready,2025-07-03 11:28:00,2025-07-03 11:35:00,,,,,1
237,ready,2025-07-03 11:28:00,2025-07-03 11:34:00,,,,,1
238,ready,2025-07-03 11:28:00,2025-07-03 11:36:00,,,,,1
239,ready,2025-07-03 11:28:00,2025-07-03 11:32:00,,,,,1
240,ready,2025-07-03 11:28:00,2025-07-03 11:38:00,,,,,1
241,ready,2025-07-03 11:28:00,2025-07-03 11:39:00,,,,,1
242,ready,2025-07-03 11:29:00,2025-07-03 11:39:00,,,,,1
243,ready,2025-07-03 11:29:00,2025-07-03 11:39:00,,,,,1
244,ready,2025-07-03 11:29:00,2025-07-03 11:37:00,,,,,1
245,ready,2025-07-03 11:29:00,2025-07-03 11:35:00,,,,,1
246,ready,2025-07-03 11:29:00,2025-07-03 11:35:00,,,,,1
247,ready,2025-07-03 11:29:00,2025-07-03 11:37:00,,,,,1
248,ready,2025-07-03 11:29:00,2025-07-03 11:37:00,,,,,1
249,ready,2025-07-03 11:29:00,2025-07-03 11:35:00,,,,,1
250,ready,2025-07-03 11:29:00,2025-07-03 11:37:00,,,,,1
251,ready,2025-07-03 11:29:00,2025-07-03 11:37:00,,,,,1
252,ready,2025-07-03 11:29:00,2025-07-03 11:38:00,,,,,1
253,ready,2025-07-03 11:30:00,2025-07-03 11:39:00,,,,,1
254,ready,2025-07-03 11:30:00,2025-07-03 11:35:00,,,,,1
255,delivered,2025-07-03 11:30:00,2025-07-03 11:34:00,2025-07-03 11:30:00,2025-07-03 11:36:33.600,6.5600000000000005,-4.0,1
256,ready,2025-07-03 11:30:00,2025-07-03 11:41:00,,,,,1
257,ready,2025-07-03 11:30:00,2025-07-03 11:38:00,,,,,1
258,ready,2025-07-03 11:30:00,2025-07-03 11:38:00,,,,,1
259,ready,2025-07-03 11:31:00,2025-07-03 11:37:00,,,,,1
260,ready,2025-07-03 11:31:00,2025-07-03 11:38:00,,,,,1
261,ready,2025-07-03 11:31:00,2025-07-03 11:35:00,,,,,1
262,ready,2025-07-03 11:31:00,2025-07-03 11:40:00,,,,,1
263,ready,2025-07-03 11:31:00,2025-07-03 11:36:00,,,,,1
264,ready,2025-07-03 11:31:00,2025-07-03 11:39:00,,,,,1
265,ready,2025-07-03 11:31:00,2025-07-03 11:37:00,,,,,1
266,ready,2025-07-03 11:31:00,2025-07-03 11:38:00,,,,,1
267,ready,2025-07-03 11:31:00,2025-07-03 11:41:00,,,,,1
268,ready,2025-07-03 11:32:00,2025-07-03 11:40:00,,,,,1
269,ready,2025-07-03 11:32:00,2025-07-03 11:40:00,,,,,1
270,ready,2025-07-03 11:33:00,2025-07-03 11:39:00,,,,,1
271,ready,2025-07-03 11:33:00,2025-07-03 11:40:00,,,,,1
272,ready,2025-07-03 11:33:00,2025-07-03 11:41:00,,,,,1
273,delivered,2025-07-03 11:33:00,2025-07-03 11:38:00,2025-07-03 11:45:00,2025-07-03 11:52:29.000,19.483333333333334,7.0,1
274,ready,2025-07-03 11:33:00,2025-07-03 11:38:00,,,,,1
275,ready,2025-07-03 11:33:00,2025-07-03 11:39:00,,,,,1
276,ready,2025-07-03 11:33:00,2025-07-03 11:39:00,,,,,1
277,ready,2025-07-03 11:34:00,2025-07-03 11:41:00,,,,,1
278,ready,2025-07-03 11:34:00,2025-07-03 11:40:00,,,,,1
279,ready,2025-07-03 11:34:00,2025-07-03 11:43:00,,,,,1
280,ready,2025-07-03 11:34:00,2025-07-03 11:41:00,,,,,1
281,ready,2025-07-03 11:34:00,2025-07-03 11:43:00,,,,,1
282,ready,2025-07-03 11:34:00,2025-07-03 11:39:00,,,,,1
283,ready,2025-07-03 11:34:00,2025-07-03 11:42:00,,,,,1
284,ready,2025-07-03 11:34:00,2025-07-03 11:41:00,,,,,1
285,ready,2025-07-03 11:34:00,2025-07-03 11:40:00,,,,,1
286,ready,2025-07-03 11:34:00,2025-07-03 11:40:00,,,,,1
287,ready,2025-07-03 11:35:00,2025-07-03 11:41:00,,,,,1
288,delivered,2025-07-03 11:35:00,2025-07-03 11:41:00,2025-07-03 11:45:00,2025-07-03 11:56:39.700,21.66166666666667,4.0,1
289,ready,2025-07-03 11:35:00,2025-07-03 11:43:00,,,,,1
290,ready,2025-07-03 11:35:00,2025-07-03 11:40:00,,,,,1
291,ready,2025-07-03 11:35:00,2025-07-03 11:42:00,,,,,1
292,ready,2025-07-03 11:35:00,2025-07-03 11:39:00,,,,,1
293,ready,2025-07-03 11:35:00,2025-07-03 11:44:00,,,,,1
294,ready,2025-07-03 11:35:00,2025-07-03 11:44:00,,,,,1
295,ready,2025-07-03 11:35:00,2025-07-03 11:42:00,,,,,1
296,ready,2025-07-03 11:36:00,2025-07-03 11:44:00,,,,,1
297,ready,2025-07-03 11:36:00,2025-07-03 11:40:00,,,,,1
298,ready,2025-07-03 11:36:00,2025-07-03 11:45:00,,,,,1
299,ready,2025-07-03 11:36:00,2025-07-03 11:45:00,,,,,1
300,ready,2025-07-03 11:36:00,2025-07-03 11:45:00,,,,,1
301,ready,2025-07-03 11:36:00,2025-07-03 11:46:00,,,,,1
302,ready,2025-07-03 11:36:00,2025-07-03 11:42:00,,,,,1
303,ready,2025-07-03 11:36:00,2025-07-03 11:43:00,,,,,1
304,ready,2025-07-03 11:36:00,2025-07-03 11:45:00,,,,,1
305,ready,2025-07-03 11:36:00,2025-07-03 11:44:00,,,,,1
306,ready,2025-07-03 11:36:00,2025-07-03 11:43:00,,,,,1
307,ready,2025-07-03 11:37:00,2025-07-03 11:43:00,,,,,1
308,ready,2025-07-03 11:37:00,2025-07-03 11:47:00,,,,,1
309,ready,2025-07-03 11:37:00,2025-07-03 11:46:00,,,,,1
310,ready,2025-07-03 11:37:00,2025-07-03 11:42:00,,,,,1
311,ready,2025-07-03 11:37:00,2025-07-03 11:43:00,,,,,1
312,ready,2025-07-03 11:37:00,2025-07-03 11:47:00,,,,,1
313,ready,2025-07-03 11:37:00,2025-07-03 11:45:00,,,,,1
314,ready,2025-07-03 11:37:00,2025-07-03 11:42:00,,,,,1
315,ready,2025-07-03 11:37:00,2025-07-03 11:42:00,,,,,1
316,ready,2025-07-03 11:37:00,2025-07-03 11:46:00,,,,,1
317,ready,2025-07-03 11:37:00,2025-07-03 11:46:00,,,,,1
318,ready,2025-07-03 11:38:00,2025-07-03 11:44:00,,,,,1
319,ready,2025-07-03 11:38:00,2025-07-03 11:45:00,,,,,1
320,ready,2025-07-03 11:38:00,2025-07-03 11:42:00,,,,,1
321,ready,2025-07-03 11:38:00,2025-07-03 11:42:00,,,,,1
322,ready,2025-07-03 11:39:00,2025-07-03 11:44:00,,,,,1
323,ready,2025-07-03 11:39:00,2025-07-03 11:48:00,,,,,1
324,delivered,2025-07-03 11:39:00,2025-07-03 11:46:00,2025-07-03 11:45:00,2025-07-03 12:00:30.400,21.506666666666668,-1.0,1
325,ready,2025-07-03 11:39:00,2025-07-03 11:46:00,,,,,1
326,ready,2025-07-03 11:39:00,2025-07-03 11:46:00,,,,,1
327,ready,2025-07-03 11:39:00,2025-07-03 11:43:00,,,,,1
328,ready,2025-07-03 11:39:00,2025-07-03 11:43:00,,,,,1
329,ready,2025-07-03 11:39:00,2025-07-03 11:46:00,,,,,1
330,ready,2025-07-03 11:39:00,2025-07-03 11:46:00,,,,,1
331,ready,2025-07-03 11:39:00,2025-07-03 11:43:00,,,,,1
332,ready,2025-07-03 11:39:00,2025-07-03 11:44:00,,,,,1
333,delivered,2025-07-03 11:40:00,2025-07-03 11:46:00,2025-07-03 11:45:00,2025-07-03 12:44:07.600,64.12666666666667,-1.0,1
334,ready,2025-07-03 11:40:00,2025-07-03 11:48:00,,,,,1
335,ready,2025-07-03 11:40:00,2025-07-03 11:44:00,,,,,1
336,ready,2025-07-03 11:40:00,2025-07-03 11:45:00,,,,,1
337,ready,2025-07-03 11:40:00,2025-07-03 11:47:00,,,,,1
338,ready,2025-07-03 11:40:00,2025-07-03 11:44:00,,,,,1
339,ready,2025-07-03 11:40:00,2025-07-03 11:48:00,,,,,1
340,ready,2025-07-03 11:40:00,2025-07-03 11:46:00,,,,,1
341,ready,2025-07-03 11:40:00,2025-07-03 11:50:00,,,,,1
342,delivered,2025-07-03 11:40:00,2025-07-03 11:49:00,2025-07-03 11:50:00,2025-07-03 12:01:02.800,21.046666666666667,1.0,1
343,ready,2025-07-03 11:41:00,2025-07-03 11:46:00,,,,,1
344,ready,2025-07-03 11:41:00,2025-07-03 11:51:00,,,,,1
345,ready,2025-07-03 11:41:00,2025-07-03 11:48:00,,,,,1
346,ready,2025-07-03 11:41:00,2025-07-03 11:49:00,,,,,1
347,ready,2025-07-03 11:41:00,2025-07-03 11:48:00,,,,,1
348,ready,2025-07-03 11:41:00,2025-07-03 11:46:00,,,,,1
349,ready,2025-07-03 11:41:00,2025-07-03 11:48:00,,,,,1
350,ready,2025-07-03 11:41:00,2025-07-03 11:51:00,,,,,1
351,ready,2025-07-03 11:41:00,2025-07-03 11:49:00,,,,,1
352,ready,2025-07-03 11:41:00,2025-07-03 11:53:00,,,,,1
353,ready,2025-07-03 11:42:00,2025-07-03 11:49:00,,,,,1
354,ready,2025-07-03 11:42:00,2025-07-03 11:49:00,,,,,1
355,ready,2025-07-03 11:42:00,2025-07-03 11:50:00,,,,,1
