Scenario,Orders,Couriers,Ratio,FCFS Avg CTD (min),FCFS P50 CTD (min),FCFS P90 CTD (min),FCFS P95 CTD (min),FCFS Avg RTP (min),FCFS P90 RTP (min),FCFS Avg RTD (min),FCFS P90 RTD (min),FCFS % Undelivered,FCFS SLA Compliance (%),FCFS Avg Bundle Size,FCFS % Multi-Bundle,FCFS Total Distance (km),FCFS Dist/Order (km),FCFS Orders/Courier/Hr,FCFS Bundles/Hr,FCFS Utilization (%),FCFS Total Compensation ($),FCFS Cost/Order ($),FCFS Frac. Min Comp,FCFS CTD Overage (min),RH Avg CTD (min),RH P50 CTD (min),RH P90 CTD (min),RH P95 CTD (min),RH Avg RTP (min),RH P90 RTP (min),RH Avg RTD (min),RH P90 RTD (min),RH % Undelivered,RH SLA Compliance (%),RH Avg Bundle Size,RH % Multi-Bundle,RH Total Distance (km),RH Dist/Order (km),RH Orders/Courier/Hr,RH Bundles/Hr,RH Utilization (%),RH Total Compensation ($),RH Cost/Order ($),RH Frac. Min Comp,RH CTD Overage (min),Δ% Avg CTD (min),Δ% P50 CTD (min),Δ% P90 CTD (min),Δ% P95 CTD (min),Δ% Avg RTP (min),Δ% P90 RTP (min),Δ% Avg RTD (min),Δ% P90 RTD (min),Δ% % Undelivered,Δ% SLA Compliance (%),Δ% Avg Bundle Size,Δ% % Multi-Bundle,Δ% Total Distance (km),Δ% Dist/Order (km),Δ% Orders/Courier/Hr,Δ% Bundles/Hr,Δ% Utilization (%),Δ% Total Compensation ($),Δ% Cost/Order ($),Δ% Frac. Min Comp,Δ% CTD Overage (min),FCFS Time (s),RH Time (s)
S4 – Alta (52:1),1012,20,50.6,74.89,14.94,230.72,276.62,61.89,215.09,62.97,218.96,12.06,62.25,1.0,0.0,4904.05,5.51,3.57,3.57,53.05,8900.0,10.0,0.0,51.55,34.07,27.51,56.23,83.24,17.08,37.93,22.13,44.03,0.0,75.89,3.14,83.89,3411.11,3.2,4.28,1.73,40.18,10670.0,10.0,0.0,6.13,-54.51,84.14,-75.63,-69.91,-72.4,-82.37,-64.86,-79.89,-100.0,21.91,214.0,0.0,-30.44,-41.92,19.89,-51.54,-24.26,19.89,0.0,0.0,-88.11,33.6,746.0
S1 – Baja (18:1),1023,57,17.9,10.59,10.47,13.66,14.72,0.19,0.0,-1.56,3.54,0.0,100.0,1.0,0.0,4906.08,4.8,1.44,1.44,19.26,11697.86,11.43,0.56,0.0,21.65,19.62,33.91,36.33,5.8,17.2,9.51,22.59,0.0,98.34,1.88,49.95,5318.79,4.99,1.5,1.02,22.31,11764.24,11.05,0.53,0.04,104.44,87.39,148.24,146.81,2952.63,0.0,709.62,538.14,0.0,-1.66,88.0,0.0,8.41,3.96,4.17,-29.17,15.84,0.57,-3.32,-5.36,0.0,51.0,2465.0
S2 – Moderada (26:1),1023,40,25.6,18.8,11.44,47.47,73.34,7.38,32.84,6.66,36.4,0.0,88.66,1.0,0.0,5129.39,5.01,2.05,2.05,28.57,10230.0,10.0,0.0,3.8,23.74,21.96,36.53,39.2,7.48,19.65,11.59,24.6,0.0,96.29,2.34,61.29,4735.63,4.54,2.09,1.23,28.29,10480.42,10.05,0.07,0.11,26.28,91.96,-23.05,-46.55,1.36,-40.16,74.02,-32.42,0.0,8.61,134.0,0.0,-7.68,-9.38,1.95,-40.0,-0.98,2.45,0.5,0.0,-97.11,28.6,715.9
S3 – Media (35:1),1023,30,34.1,39.93,13.12,126.93,154.83,27.5,111.77,27.79,115.42,0.0,72.43,1.0,0.0,5428.11,5.31,2.74,2.74,39.75,10230.0,10.0,0.0,19.75,26.7,23.93,40.83,46.5,9.59,22.75,14.55,28.42,0.0,88.66,2.75,72.73,4346.96,4.03,2.89,1.41,34.48,10790.0,10.0,0.0,1.14,-33.13,82.39,-67.83,-69.97,-65.13,-79.65,-47.64,-75.38,0.0,22.41,175.0,0.0,-19.92,-24.11,5.47,-48.54,-13.26,5.47,0.0,0.0,-94.23,32.7,595.5
S4 – Alta (52:1),1023,20,51.1,79.73,17.36,214.9,284.03,66.4,199.51,67.61,202.95,13.59,57.81,1.0,0.0,5086.33,5.75,3.55,3.55,54.59,8840.0,10.0,0.0,55.21,36.17,29.15,58.73,102.23,18.48,39.1,24.03,47.06,0.0,74.49,3.16,83.19,3573.02,3.33,4.31,1.75,42.43,10740.0,10.0,0.0,7.6,-54.63,67.91,-72.67,-64.01,-72.17,-80.4,-64.46,-76.81,-100.0,28.85,216.0,0.0,-29.75,-42.09,21.41,-50.7,-22.28,21.49,0.0,0.0,-86.23,33.2,685.0
S1 – Baja (18:1),1035,58,17.8,9.65,9.7,12.69,13.44,0.12,0.0,-2.26,2.62,0.0,100.0,1.0,0.0,4411.1,4.26,1.43,1.43,16.96,11913.62,11.51,0.53,0.0,19.83,18.2,31.26,34.44,4.57,14.85,7.92,19.35,0.0,99.23,1.69,43.96,4996.14,4.66,1.48,1.08,20.21,11836.76,11.05,0.57,0.02,105.49,87.63,146.34,156.25,3708.33,0.0,450.44,638.55,0.0,-0.77,69.0,0.0,13.26,9.39,3.5,-24.48,19.16,-0.65,-4.0,7.55,0.0,51.0,2545.0
S2 – Moderada (26:1),1035,40,25.9,14.68,10.33,23.18,51.34,4.22,9.49,2.77,11.69,0.0,93.62,1.0,0.0,4678.51,4.52,2.08,2.08,25.96,10379.71,10.03,0.07,1.75,22.34,20.34,35.12,38.44,6.39,18.08,10.43,23.6,0.0,96.91,2.27,58.36,4392.03,4.08,2.16,1.3,25.94,10823.14,10.05,0.05,0.11,52.18,96.9,51.51,-25.13,51.42,90.52,276.53,101.88,0.0,3.51,127.0,0.0,-6.12,-9.73,3.85,-37.5,-0.08,4.27,0.2,-28.57,-93.71,23.3,672.2
S3 – Media (35:1),1035,30,34.5,29.63,11.34,93.79,130.29,18.31,79.19,17.72,82.5,0.0,79.42,1.0,0.0,4891.3,4.73,2.77,2.77,35.97,10350.0,10.0,0.0,12.26,24.95,22.03,39.33,43.77,8.64,22.09,13.04,27.44,0.0,91.3,2.54,66.96,4098.28,3.82,2.88,1.55,32.21,10730.0,10.0,0.0,0.68,-15.79,94.27,-58.07,-66.41,-52.81,-72.11,-26.41,-66.74,0.0,14.96,154.0,0.0,-16.21,-19.24,3.97,-44.04,-10.45,3.67,0.0,0.0,-94.45,28.1,484.8
S4 – Alta (52:1),1035,20,51.8,71.02,13.81,214.61,270.95,58.79,200.43,59.17,203.91,9.76,61.24,1.0,0.0,4709.43,5.04,3.75,3.75,51.62,9340.0,10.0,0.0,48.19,31.33,25.87,51.38,62.9,14.54,33.13,19.42,39.57,0.0,78.55,2.99,80.48,3398.87,3.16,4.32,1.88,40.2,10750.0,10.0,0.0,4.23,-55.89,87.33,-76.06,-76.79,-75.27,-83.47,-67.18,-80.59,-100.0,28.27,199.0,0.0,-27.83,-37.3,15.2,-49.87,-22.12,15.1,0.0,0.0,-91.22,32.6,613.4
S1 – Baja (18:1),988,55,18.0,10.24,10.19,12.96,13.67,0.18,0.0,-1.74,2.85,0.0,100.0,1.0,0.0,4541.68,4.6,1.43,1.43,18.07,11104.07,11.24,0.55,0.0,20.38,18.94,31.21,34.05,4.71,14.55,8.4,19.5,0.0,99.29,1.7,44.64,5106.97,4.96,1.49,1.08,21.39,11376.46,11.06,0.51,0.02,99.02,85.87,140.82,149.09,2516.67,0.0,582.76,584.21,0.0,-0.71,70.0,0.0,12.45,7.83,4.2,-24.48,18.37,2.45,-1.6,-7.27,0.0,48.8,2362.9
S2 – Moderada (26:1),988,38,26.0,14.84,10.82,20.03,44.18,3.86,6.47,2.86,10.2,0.0,94.33,1.0,0.0,4772.82,4.83,2.07,2.07,27.36,9888.8,10.01,0.03,1.5,22.78,20.8,35.23,38.03,6.77,17.77,10.79,23.35,0.0,96.76,2.2,58.6,4525.84,4.35,2.17,1.32,27.46,10400.0,10.0,0.0,0.1,53.5,92.24,75.89,-13.92,75.39,174.65,277.27,128.92,0.0,2.58,120.0,0.0,-5.17,-9.94,4.83,-36.23,0.37,5.17,-0.1,-100.0,-93.33,22.8,709.3
S3 – Media (35:1),988,29,34.1,32.9,11.78,108.22,137.11,21.07,93.21,20.91,96.21,0.0,77.43,1.0,0.0,5043.83,5.11,2.71,2.71,37.56,9880.0,10.0,0.0,14.77,25.75,23.15,39.62,43.67,9.05,22.5,13.76,27.24,0.0,90.38,2.65,70.04,4141.67,4.02,2.82,1.45,32.89,10290.0,10.0,0.0,0.74,-21.73,96.52,-63.39,-68.15,-57.05,-75.86,-34.19,-71.69,0.0,16.72,165.0,0.0,-17.89,-21.33,4.06,-46.49,-12.43,4.15,0.0,0.0,-94.99,29.1,510.7
S4 – Alta (52:1),988,19,52.0,70.39,15.47,210.93,258.18,57.28,193.83,58.37,197.2,12.35,63.05,1.0,0.0,4805.34,5.55,3.62,3.62,53.53,8660.0,10.0,0.0,47.28,33.34,28.13,54.38,69.68,16.1,36.02,21.35,42.45,0.0,75.51,3.07,82.89,3450.58,3.33,4.33,1.8,41.68,10360.0,10.0,0.0,5.34,-52.64,81.84,-74.22,-73.01,-71.89,-81.42,-63.42,-78.47,-100.0,19.76,207.0,0.0,-28.19,-40.0,19.61,-50.28,-22.14,19.63,0.0,0.0,-88.71,30.7,588.3
S1 – Baja (18:1),1047,59,17.7,9.87,9.85,12.97,13.89,0.13,0.0,-2.07,2.78,0.0,100.0,1.0,0.0,4454.79,4.25,1.42,1.42,17.36,11867.39,11.33,0.51,0.0,20.05,18.5,30.6,34.45,4.53,13.98,8.11,18.83,0.0,99.62,1.71,43.55,4991.34,4.6,1.48,1.07,20.4,11794.31,10.87,0.53,0.01,103.14,87.82,135.93,148.02,3384.62,0.0,491.79,577.34,0.0,-0.38,71.0,0.0,12.04,8.24,4.23,-24.65,17.51,-0.62,-4.06,3.92,0.0,52.0,2654.6
S2 – Moderada (26:1),1047,41,25.5,14.73,10.52,24.22,48.23,4.11,7.19,2.79,10.44,0.0,93.6,1.0,0.0,4735.43,4.52,2.05,2.05,26.29,10483.83,10.01,0.05,1.78,22.88,20.97,35.79,38.14,6.72,18.14,10.93,23.8,0.0,97.33,2.23,61.89,4458.42,4.14,2.11,1.26,26.34,10910.74,10.13,0.07,0.07,55.33,99.33,47.77,-20.92,63.5,152.29,291.76,127.97,0.0,3.99,123.0,0.0,-5.85,-8.41,2.93,-38.54,0.19,4.07,1.2,40.0,-96.07,24.8,732.3
S3 – Media (35:1),1047,30,34.9,34.74,11.89,114.48,155.27,22.93,100.06,22.8,103.4,0.0,77.08,1.0,0.0,5076.98,4.85,2.8,2.8,38.06,10470.0,10.0,0.0,16.46,25.23,21.95,40.38,43.73,8.96,22.61,13.29,27.65,0.0,89.68,2.66,70.11,4033.09,3.67,2.94,1.5,32.37,11000.0,10.0,0.0,0.87,-27.37,84.61,-64.73,-71.84,-60.92,-77.4,-41.71,-73.26,0.0,16.35,166.0,0.0,-20.56,-24.33,5.0,-46.43,-14.95,5.06,0.0,0.0,-94.71,31.4,498.6
S4 – Alta (52:1),1047,21,49.9,75.09,15.84,221.03,281.79,62.41,205.26,63.19,208.84,7.93,60.89,1.0,0.0,4928.92,5.11,3.68,3.68,51.98,9640.0,10.0,0.0,51.58,30.56,26.53,48.46,58.29,13.59,30.86,18.62,35.66,0.0,80.13,3.0,80.32,3535.66,3.26,4.15,1.81,40.23,10850.0,10.0,0.0,3.2,-59.3,67.49,-78.08,-79.31,-78.22,-84.97,-70.53,-82.92,-100.0,31.6,200.0,0.0,-28.27,-36.2,12.77,-50.82,-22.6,12.55,0.0,0.0,-93.8,35.8,539.8
S1 – Baja (18:1),991,56,17.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1
S2 – Moderada (26:1),991,39,25.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
S3 – Media (35:1),991,29,34.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2
S4 – Alta (52:1),991,20,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
S1 – Baja (18:1),994,56,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
S2 – Moderada (26:1),994,39,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
S3 – Media (35:1),994,29,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
S4 – Alta (52:1),994,20,49.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
