Scenario,Orders,Couriers,Ratio,FCFS Avg CTD (min),RH Avg CTD (min),Δ% Avg CTD (min),FCFS Cost/Order ($),RH Cost/Order ($),Δ% Cost/Order ($),FCFS Orders/Courier/Hr,RH Orders/Courier/Hr,Δ% Orders/Courier/Hr,FCFS Utilization (%),RH Utilization (%),Δ% Utilization (%),FCFS SLA Compliance (%),RH SLA Compliance (%),Δ% SLA Compliance (%),FCFS Dist/Order (km),RH Dist/Order (km),Δ% Dist/Order (km)
S4 – Alta (52:1),1014,20,50.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1 – Baja (18:1),1012,57,17.8,10.26,20.61,100.88,11.55,11.28,-2.34,1.43,1.5,4.9,18.27,20.59,12.7,100.0,99.51,-0.49,4.66,4.65,-0.21
S2 – Moderada (26:1),1012,39,25.9,19.63,22.87,16.51,10.0,10.05,0.5,2.08,2.17,4.33,28.29,26.52,-6.26,88.44,97.33,10.05,4.97,4.14,-16.7
S3 – Media (35:1),1012,29,34.9,39.66,26.45,-33.31,10.0,10.0,0.0,2.8,2.93,4.64,39.29,32.63,-16.95,74.41,88.04,18.32,5.14,3.75,-27.04
S4 – Alta (52:1),1012,20,50.6,74.89,34.07,-54.51,10.0,10.0,0.0,3.57,4.28,19.89,53.05,40.18,-24.26,62.25,75.89,21.91,5.51,3.2,-41.92
S1 – Baja (18:1),1023,57,17.9,10.59,21.65,104.44,11.43,11.05,-3.32,1.44,1.5,4.17,19.26,22.31,15.84,100.0,98.34,-1.66,4.8,4.99,3.96
S2 – Moderada (26:1),1023,40,25.6,18.8,23.74,26.28,10.0,10.05,0.5,2.05,2.09,1.95,28.57,28.29,-0.98,88.66,96.29,8.61,5.01,4.54,-9.38
S3 – Media (35:1),1023,30,34.1,39.93,26.7,-33.13,10.0,10.0,0.0,2.74,2.89,5.47,39.75,34.48,-13.26,72.43,88.66,22.41,5.31,4.03,-24.11
S4 – Alta (52:1),1023,20,51.1,79.73,36.17,-54.63,10.0,10.0,0.0,3.55,4.31,21.41,54.59,42.43,-22.28,57.81,74.49,28.85,5.75,3.33,-42.09
S1 – Baja (18:1),1035,58,17.8,9.65,19.83,105.49,11.51,11.05,-4.0,1.43,1.48,3.5,16.96,20.21,19.16,100.0,99.23,-0.77,4.26,4.66,9.39
S2 – Moderada (26:1),1035,40,25.9,14.68,22.34,52.18,10.03,10.05,0.2,2.08,2.16,3.85,25.96,25.94,-0.08,93.62,96.91,3.51,4.52,4.08,-9.73
S3 – Media (35:1),1035,30,34.5,29.63,24.95,-15.79,10.0,10.0,0.0,2.77,2.88,3.97,35.97,32.21,-10.45,79.42,91.3,14.96,4.73,3.82,-19.24
S4 – Alta (52:1),1035,20,51.8,71.02,31.33,-55.89,10.0,10.0,0.0,3.75,4.32,15.2,51.62,40.2,-22.12,61.24,78.55,28.27,5.04,3.16,-37.3
S1 – Baja (18:1),988,55,18.0,10.24,20.38,99.02,11.24,11.06,-1.6,1.43,1.49,4.2,18.07,21.39,18.37,100.0,99.29,-0.71,4.6,4.96,7.83
S2 – Moderada (26:1),988,38,26.0,14.84,22.78,53.5,10.01,10.0,-0.1,2.07,2.17,4.83,27.36,27.46,0.37,94.33,96.76,2.58,4.83,4.35,-9.94
S3 – Media (35:1),988,29,34.1,32.9,25.75,-21.73,10.0,10.0,0.0,2.71,2.82,4.06,37.56,32.89,-12.43,77.43,90.38,16.72,5.11,4.02,-21.33
S4 – Alta (52:1),988,19,52.0,70.39,33.34,-52.64,10.0,10.0,0.0,3.62,4.33,19.61,53.53,41.68,-22.14,63.05,75.51,19.76,5.55,3.33,-40.0
S1 – Baja (18:1),1047,59,17.7,9.87,20.05,103.14,11.33,10.87,-4.06,1.42,1.48,4.23,17.36,20.4,17.51,100.0,99.62,-0.38,4.25,4.6,8.24
S2 – Moderada (26:1),1047,41,25.5,14.73,22.88,55.33,10.01,10.13,1.2,2.05,2.11,2.93,26.29,26.34,0.19,93.6,97.33,3.99,4.52,4.14,-8.41
S3 – Media (35:1),1047,30,34.9,34.74,25.23,-27.37,10.0,10.0,0.0,2.8,2.94,5.0,38.06,32.37,-14.95,77.08,89.68,16.35,4.85,3.67,-24.33
S4 – Alta (52:1),1047,21,49.9,75.09,30.56,-59.3,10.0,10.0,0.0,3.68,4.15,12.77,51.98,40.23,-22.6,60.89,80.13,31.6,5.11,3.26,-36.2
S1 – Baja (18:1),991,56,17.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2 – Moderada (26:1),991,39,25.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3 – Media (35:1),991,29,34.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4 – Alta (52:1),991,20,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1 – Baja (18:1),994,56,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2 – Moderada (26:1),994,39,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3 – Media (35:1),994,29,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4 – Alta (52:1),994,20,49.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
